step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
320.0,379,36,177,441,820,0,2329.0,6.145118733509235,4.287690975821233,20,835.0,0.17461745345034962,7,165.0,0.5194912463528233,2,38.0,0.6776254153333553,5,35.0,0.49617098519331493,25,1440.0,0.07048450517454329,22,1322.0,0.13524385805997882,6,77.0,0.4093579830143325,2,19.0,0.3044466458544112,20,1419.0,0.1329022599124297,8,120.0,0.3203460566763542,24,1698.0,0.08475202608412462,6,291.0,0.4170667799128005,2,28.0,0.5782636912124012,5,23.0,0.5784572359606052,23,1148.0,0.11489003041605221,0,267.0,0.5649150094517646,177,8925.0
330.0,371,48,138,461,832,0,1608.0,4.334231805929919,4.882841615961709,10,476.0,0.3058739121319526,11,246.0,0.37833528647682446,5,73.0,0.5953126527884894,3,21.0,0.3987369711765596,11,1492.0,0.09074396896408837,31,1593.0,0.00010828758447890267,6,130.0,0.30982522328811934,0,14.0,0.8104635347551116,10,955.0,0.23932698995656135,3,57.0,0.6497224678200959,11,1646.0,0.10768321616622857,15,397.0,0.14201786738996997,4,40.0,0.24503389671530762,4,13.0,0.2916400944920152,12,730.0,0.3062960804966644,2,28.0,0.6208438956404221,138,7911.0
340.0,385,48,158,479,864,0,1661.0,4.314285714285714,4.381017153253901,7,422.0,0.3780241385980113,22,416.0,0.10846652426694713,16,168.0,0.09505824773195423,3,64.0,0.5558195074024753,19,1654.0,0.16206009338172775,15,1128.0,0.24488715324844174,3,37.0,0.6920307262111908,0,22.0,0.8195988299318618,9,981.0,0.2929646457054486,5,70.0,0.37396733582950914,21,1803.0,0.17940398422736267,18,572.0,0.1721943879622869,5,43.0,0.46293703916105844,1,22.0,0.7797422627692137,8,658.0,0.24936763080411703,6,37.0,0.2327927734063552,158,8097.0
350.0,401,39,196,496,897,0,2321.0,5.788029925187033,4.003354295149482,21,554.0,0.16800330390235302,25,665.0,0.12971035777813048,20,374.0,0.19095953888240583,1,12.0,0.22516396329674865,32,1915.0,0.10922611034870812,8,1142.0,0.34123345071715816,2,20.0,0.4552463556931407,5,30.0,0.21794021596516291,17,1149.0,0.17297753271313968,3,38.0,0.46368879409472735,19,1375.0,0.22979844853090745,5,378.0,0.4196237084723883,0,20.0,0.7889077300389956,2,15.0,0.32977764533018067,21,808.0,0.060069513756903094,15,163.0,0.1615001360859239,196,8658.0
360.0,396,46,212,518,914,0,3402.0,8.590909090909092,4.014815590086831,32,824.0,0.08972331284952192,11,528.0,0.2023182861583125,20,560.0,0.2857962748677418,0,11.0,0.8324033008350203,36,2264.0,7.082542283699163e-07,20,1281.0,0.19830994039142394,4,24.0,0.480454557061832,0,16.0,0.8537115666790235,18,1345.0,0.32408541375052696,3,44.0,0.5381575323939778,9,1403.0,0.20681002690867262,9,359.0,0.13614173001827343,1,20.0,0.49464997017092144,0,10.0,0.9099956934763708,34,1095.0,0.12188732422241537,15,324.0,0.24162908590074708,212,10108.0
370.0,393,52,193,547,940,0,3614.0,9.195928753180661,4.23002723363144,36,1169.0,0.11837800559238848,7,506.0,0.2600437985777417,20,778.0,0.26063454559083504,0,2.0,0.8709898189677027,22,1843.0,0.08459534566218364,24,1531.0,0.14026648379323997,0,0.0,0.8630267115941799,1,12.0,0.5957940406383959,24,1545.0,0.13554786853639372,4,13.0,0.4600500180217644,20,1544.0,0.12629841147186963,2,194.0,0.4196700751137347,7,96.0,0.5070431911817883,0,0.0,0.867387286444132,24,939.0,0.2574903859073489,2,248.0,0.4129119831944598,193,10420.0
380.0,392,61,174,563,955,0,2831.0,7.221938775510204,4.320101273620669,25,1090.0,0.15159197016396492,18,657.0,0.2904605990071383,28,1011.0,0.032177714685465514,0,0.0,0.8354824163834609,7,1382.0,0.31608653939148124,18,1223.0,0.20393594453935476,0,18.0,0.8976234369296209,2,10.0,0.701599096723698,12,959.0,0.2805339891358462,0,18.0,0.8341491387590206,32,1818.0,0.026499153311361514,10,196.0,0.2709795077796312,2,38.0,0.31450783203497334,0,29.0,0.8447777420391248,13,1093.0,0.15048701940097364,7,207.0,0.26101389639321776,174,9749.0
390.0,391,66,204,583,974,0,3314.0,8.475703324808185,3.697048910127829,14,1251.0,0.16636095105519558,23,862.0,0.13274993365218588,28,1298.0,0.11854031658429137,3,9.0,0.000617042617637143,15,1465.0,0.3250682457714204,10,1177.0,0.21868241256940268,5,34.0,0.4208934674975054,5,24.0,0.2827831280832169,9,1008.0,0.25339704764401366,2,19.0,0.5422926794761884,36,2183.0,0.12100574312088372,11,306.0,0.24979736145470002,7,67.0,0.39105087360441443,1,23.0,0.5500761909569655,22,1255.0,0.12013310906063503,13,320.0,0.2983481443491495,204,11301.0
400.0,407,67,184,598,1005,0,3678.0,9.036855036855037,4.314471516907719,7,960.0,0.2152839756787517,24,1119.0,0.23104153333988187,28,1571.0,4.516401291629057e-07,0,0.0,1.0,26,1668.0,0.10935478397723347,20,1313.0,0.23235882237047803,4,35.0,0.47985978209286345,0,17.0,0.6011569113415712,4,542.0,0.34551528513264884,2,40.0,0.7682529648232581,23,1796.0,0.13238759459553912,4,151.0,0.5885523948358374,2,37.0,0.6625128529272238,7,87.0,0.5509401626673017,20,1067.0,0.06853814900200558,13,468.0,0.2650541191430479,184,10871.0
410.0,394,77,176,625,1019,0,2999.0,7.611675126903553,4.200879813090485,12,1021.0,0.1817830163349531,30,1394.0,0.11544349625601359,12,1295.0,0.2791747704329561,0,36.0,0.7986084594988161,36,1999.0,0.048947286091065585,17,948.0,0.08864832310304185,1,19.0,0.6060335702658255,3,23.0,0.4650361420382797,7,400.0,0.25637270878594826,3,17.0,0.5896939675629903,13,984.0,0.3369584170280372,6,172.0,0.456543785679173,3,29.0,0.4875912431201125,2,40.0,0.31399240979587767,14,1158.0,0.09833047036895365,17,622.0,0.20644513849019086,176,10157.0
